dimension,value,count,percentage,target_exam_weight_percent,notes
domain,1.0 General Security Concepts,3,12.5,12,Planned 24-question allocation.
domain,"2.0 Threats, Vulnerabilities, and Mitigations",5,20.8,22,Planned 24-question allocation.
domain,3.0 Security Architecture,4,16.7,18,Planned 24-question allocation.
domain,4.0 Security Operations,7,29.2,28,Planned 24-question allocation.
domain,5.0 Security Program Management and Oversight,5,20.8,20,Planned 24-question allocation.
objective,1.1 Compare and contrast various types of security controls.,1,4.2,,
objective,1.2 Summarize fundamental security concepts.,1,4.2,,
objective,1.3 Explain the importance of change management processes and the impact to security.,1,4.2,,
objective,2.1 Compare and contrast common threat actors and motivations.,1,4.2,,
objective,2.2 Explain common threat vectors and attack surfaces.,1,4.2,,
objective,2.3 Explain various types of vulnerabilities.,1,4.2,,
objective,"2.4 Given a scenario, analyze indicators of malicious activity.",1,4.2,,
objective,2.5 Explain the purpose of mitigation techniques used to secure the enterprise.,1,4.2,,
objective,3.1 Compare and contrast security implications of different architecture models.,1,4.2,,
objective,"3.2 Given a scenario, apply security principles to secure enterprise infrastructure.",1,4.2,,
objective,3.3 Compare and contrast concepts and strategies to protect data.,1,4.2,,
objective,3.4 Explain the importance of resilience and recovery in security architecture.,1,4.2,,
objective,"4.1 Given a scenario, apply common security techniques to computing resources.",1,4.2,,
objective,"4.2 Explain the security implications of proper hardware, software, and data asset management.",1,4.2,,
objective,4.4 Explain security alerting and monitoring concepts and tools.,1,4.2,,
objective,"4.6 Given a scenario, implement and maintain identity and access management.",1,4.2,,
objective,4.7 Explain the importance of automation and orchestration related to secure operations.,1,4.2,,
objective,4.8 Explain appropriate incident response activities.,1,4.2,,
objective,"4.9 Given a scenario, use data sources to support an investigation.",1,4.2,,
objective,5.1 Summarize elements of effective security governance.,1,4.2,,
objective,5.2 Explain elements of the risk management process.,1,4.2,,
objective,5.4 Summarize elements of effective security compliance.,1,4.2,,
objective,5.5 Explain types and purposes of audits and assessments.,1,4.2,,
objective,"5.6 Given a scenario, implement security awareness practices.",1,4.2,,
topic,Active-active resilience,1,4.2,,
topic,Application sandboxing,1,4.2,,
topic,Attribute-based access control,1,4.2,,
topic,Automation privilege management,1,4.2,,
topic,Change impact analysis,1,4.2,,
topic,Credential stuffing indicators,1,4.2,,
topic,Data integrity,1,4.2,,
topic,Data ownership,1,4.2,,
topic,Default account hardening,1,4.2,,
topic,Email header analysis,1,4.2,,
topic,Forward proxy controls,1,4.2,,
topic,Incident recovery,1,4.2,,
topic,Managerial directive controls,1,4.2,,
topic,Operational technology security,1,4.2,,
topic,Organized crime motivation,1,4.2,,
topic,Pseudonymization,1,4.2,,
topic,Records retention,1,4.2,,
topic,Risk avoidance,1,4.2,,
topic,Security event correlation,1,4.2,,
topic,Security misconfiguration,1,4.2,,
topic,Shoulder-surfing awareness,1,4.2,,
topic,Software bills of materials,1,4.2,,
topic,Voice phishing,1,4.2,,
topic,Vulnerability assessments,1,4.2,,
difficulty,easy,6,25.0,,
difficulty,hard,6,25.0,,
difficulty,medium,12,50.0,,
question_type,single_choice,24,100.0,,
question_style,comparison,3,12.5,,
question_style,direct,4,16.7,,
question_style,scenario,17,70.8,,
stored_correct_answer,A,6,25.0,,
stored_correct_answer,B,6,25.0,,
stored_correct_answer,C,6,25.0,,
stored_correct_answer,D,6,25.0,,
